ID,Smiles
ZINC01530569,CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1
ZINC01530604,O=C([O-])c1cc(=O)c2cc(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)ccc2o1
ZINC01530617,CC(C)[NH+](CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
ZINC01530635,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
ZINC01530775,NC(=[NH2+])c1ccc(OCCCCCOc2ccc(C(N)=[NH2+])cc2)cc1
ZINC01530900,CC[NH2+]C1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
ZINC01530935,COCCCOc1cc[nH+]c(CS(=O)c2nc3ccccc3[nH]2)c1C
ZINC01530939,CCCCOc1cc(C(=O)NCC[NH+](CC)CC)c2ccccc2n1
ZINC01530967,CCC(OC(C)=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1
ZINC01537619,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1
ZINC01537633,CCCC[NH+]1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1
ZINC01541053,CCC[NH+](CCc1cccs1)C1CCc2c(cccc2OC)C1
ZINC01541661,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(OCc3ccccc3)cc2)N1c1ccc(F)cc1
ZINC01547575,CC[NH+](C/C=C\c1ccc(C2CCCCC2)c(Cl)c1)C1CCCCC1
ZINC01550499,CC([NH2+]CCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
ZINC01558484,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C(C)(C)OC(C)=O)C3
ZINC01561937,CC[NH+](CC)CCN1c2ccccc2Sc2c1ccc1ccccc21
ZINC01575530,O=C([O-])CCC(NC(=O)CNC(=O)OCc1ccccc1)C(=O)[O-]
ZINC01578570,Cc1c(-c2ccc(C3CCCCC3)cc2)nc2ccc(F)cc2c1C(=O)[O-]
ZINC01580709,Clc1ccc2c(NCCCCCCNc3cc[nH+]c4cc(Cl)ccc34)ccnc2c1
ZINC01584522,C[NH+]1CCC(c2ccccc2)(C(O)(c2ccccc2)c2ccccc2)CC1
ZINC01586128,CC(C)(C)n1nc(C2CC2)cc1NC(=O)Nc1ccc(Cl)cc1
ZINC01586356,CC[NH+](CC)C(C)CC(C(N)=O)(c1ccccc1)c1ccccc1
ZINC01593136,COc1ccc(C2=C(c3ccccc3)c3c(OC)cc(OC)cc3OC2)cc1
ZINC01604019,COc1ccc2cc3n(c(=O)c2c1OC)CCc1cc2c(cc1-3)OCO2
ZINC01604722,O=C([O-])c1ccccc1C(=O)CCC(=O)c1ccccc1C(=O)[O-]
ZINC01608429,CC1(C)N=c2cc3c(cc2N1c1ccc(Cl)cc1)=Nc1ccccc1N3c1ccc(Cl)cc1
ZINC01609606,Clc1cc(Cl)c2ccc3c(Cl)cc(Cl)c4ccc1c2c43
ZINC01610886,O=C(C1CC2CC[NH+]1CC2)N1CCN(C(=O)C2CC3CC[NH+]2CC3)CC1
ZINC01615831,OC(CC[NH+]1CCC2CCC(C2)C1)(c1ccccc1)C1CCCCC1
ZINC01616626,[NH3+]C(CCC(=O)NC(CS(=O)(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
ZINC01618713,CCCNC(=O)N(CC(C)(C)C)S(=O)(=O)c1ccc(Cl)cc1
ZINC01624478,COc1cc2c(cc1OC)-c1cc3cc(OC)c(OC)cc3n1CC2
ZINC01625751,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])s3)cc2c(=O)[nH]1
ZINC01626044,CC(C)(C)C(=O)OCC1CCC(n2cnc3c(=O)[nH]c(N)nc32)O1
ZINC01635721,CC1(c2ccc(O)cc2)CCC(C(C)(C)c2ccc(O)cc2)CC1
ZINC01640668,O=C(OCC[NH+]1C2CCCC1CCC2)C(O)(c1ccccc1)c1ccccc1
ZINC01640741,CCCN1CN(c2ccccc2)C2(CC[NH+](CCCC(=O)c3ccc(F)cc3)CC2)C1=O
ZINC01643812,CC(C)(C)C1CCC(OC(=O)C2CCC(C(C)(C)C)CC2)CC1
ZINC01644118,CCCC(C)[NH+](CCCNc1cc(OC)cc2cccnc12)CC(C)C
